masterSku,title,brand,categoryLeaf,city,cityName,price,priceBeforeDiscount,discount
133032805,Наушники REDMI Buds 6 бирюзовый,REDMI,Наушники,750000000,Алматы,17990,17990,0
115946833,POCKET BOOK PB629-2-CIS 6 дюйм 8 Гб синий,POCKET BOOK,Электронные книги,750000000,Алматы,90688,90688,0
131088188,ALTECO дрель-шуруповерт CID 21-45 BL X2 78080 21 В,ALTECO,Дрели и шуруповерты,750000000,Алматы,49000,49000,0
102618900,Система обратного осмоса Аквафор DWM-102S,Аквафор,Фильтры для воды,750000000,Алматы,133000,133000,0
110443195,Креатин Maxler 100% Golden Creatine нейтральный 600 г,Maxler,Креатин,750000000,Алматы,24000,30000,20
101631475,ALTECO БС 180 С 180 л чугунный венец,ALTECO,Бетономешалки,750000000,Алматы,124000,124000,0
110371025,Видеорегистратор с радар-детектором Neoline X-COP 9350 черный,Neoline,Радар-детекторы,750000000,Алматы,114990,114990,0
146792191,Midea MD200H90WB/T-C серый,Midea,Сушильные машины,750000000,Алматы,261120,261120,0
110273513,Garmin Vivomove Trend 40 мм черный-черный,Garmin,Смарт-часы,750000000,Алматы,206990,206990,0
115808289,Canon EOS R6 Mark II + Mount Adapter Canon EF-EOS R,Canon,Фотокамеры,750000000,Алматы,894168,894168,0
153917120,REDMI Note 15 4G NFC 8 ГБ/256 ГБ черный,REDMI,Смартфоны,750000000,Алматы,124990,124990,0
100309098,Bioderma ночной крем Pigmentbio для лица 50 мл,Bioderma,Кремы и сыворотки,750000000,Алматы,22500,22500,0
146987947,Xiaomi Robot Vacuum S40 Pro OV71GL белый,Xiaomi,Роботы-пылесосы,750000000,Алматы,152990,152990,0
122963224,Garmin Fenix 8 43 мм белый-белый,Garmin,Смарт-часы,750000000,Алматы,566990,566990,0
12300842,CROWN дрель CT10067,CROWN,Дрели и шуруповерты,750000000,Алматы,28990,28990,0
128796700,"Аккумуляторная отвертка ALTECO CSD 4V T 67507, 4 В",ALTECO,Аккумуляторные отвертки,750000000,Алматы,15400,15400,0
101637648,Аэрогриль Deerma Electric Oven Air Fryer KZ100 3 л черный,Deerma,Аэрогрили,750000000,Алматы,27725,27725,0
144629208,"27"" Xiaomi Gaming Monitor G27i 2026 P27FDA-RGGL черный",Xiaomi,Мониторы,750000000,Алматы,72990,72990,0
101107322,Электрическая цепная пила ALTECO ECS 1900-40,ALTECO,Цепные пилы,750000000,Алматы,29900,36900,19
113503296,Фрезер вертикальный Makita RP2302FC02,Makita,Фрезеры,750000000,Алматы,257295,257295,0
144892504,DREAME L40 RU RLL43SDA белый,DREAME,Роботы-пылесосы,750000000,Алматы,119990,182990,34
132441289,Видеорегистратор Neoline Neoline Argus 4K Dual черный,Neoline,Видеорегистраторы,750000000,Алматы,99990,99990,0
106193539,Karcher пеногенератор 2.643-147.0 1 шт,Karcher,Аксессуары для моек высокого давления,750000000,Алматы,12990,16990,24
132691873,Двойной аэрогриль Midea MF-CY80SA2 8 л черный,Midea,Аэрогрили,750000000,Алматы,64500,64500,0
17700013,Bioderma крем Sebium Pore Refiner для сужения пор для лица 30 мл,Bioderma,Кремы и сыворотки,750000000,Алматы,10900,10900,0
140332176,Garmin Forerunner 970 47 мм бежевый-фиолетовый,Garmin,Смарт-часы,750000000,Алматы,468254,468254,0
103171341,Батарейка CR123A Camelion 1 шт,Camelion,Батарейки и аккумуляторы,750000000,Алматы,990,990,0
116624773,Bioderma ABCDerm гель 1000 мл,Bioderma,Средства для душа,750000000,Алматы,15900,15900,0
145356035,Pet Food Говядина для взрослых всех пород 10 кг 2 шт,Pet Food,Сухие корма для собак,750000000,Алматы,17000,17000,0
19100251,Пила торцовочная ALTECO MS 2000-255 BD 17289,ALTECO,Торцовочные пилы,750000000,Алматы,95000,95000,0
145890797,NEXME QLT-118A белый,NEXME,Тостеры,750000000,Алматы,4790,7685,38
140654993,NEXME SGT200 белый,NEXME,Парогенераторы,750000000,Алматы,24990,43662,43
135832187,DREAME Cordless Vacuum Cleaner Z30 Aqua Cycle черный,DREAME,Пылесосы,750000000,Алматы,424990,424990,0
101984033,ITALWAX Selfie средняя воск 500 г,ITALWAX,Воск для депиляции,750000000,Алматы,5760,5760,0
128493006,Бензопила ALTECO GCS 58-50,ALTECO,Цепные пилы,750000000,Алматы,40900,46000,11
143175844,Портативная колонка MLOVE S3 PRO черный,MLOVE,Портативные колонки,750000000,Алматы,49990,49990,0
106039830,Maxler 100% Golden Whey клубника 2270 г,Maxler,Протеин,750000000,Алматы,50000,50000,0
140334485,Garmin Forerunner 570 42 мм белый,Garmin,Смарт-часы,750000000,Алматы,343990,343990,0
12400121,"Перфоратор ALTECO RH 650-24 SDS-PLUS 2.6 Дж, SDS-Plus",ALTECO,Перфораторы,750000000,Алматы,24900,24900,0
136185574,AULA WIN60HE черный,AULA ,Клавиатуры,750000000,Алматы,12148,14990,19
104596412,Bioderma крем Sensibio Defensive Rich для лица 40 мл,Bioderma,Кремы и сыворотки,750000000,Алматы,8607,8607,0
106042325,Микрофон Fifine A6V черный,Fifine,Микрофоны,750000000,Алматы,18490,18490,0
135542832,Qazprotein Amylopectin без вкуса 1000 г,Qazprotein,Гейнеры,750000000,Алматы,4290,4290,0
149659811,Проектор Wanbo Mozart 1 Pro 2025,Wanbo,Проекторы,750000000,Алматы,227990,227990,0
145820693,Roborock S8 Pro RRA0TAL белый,Roborock,Роботы-пылесосы,750000000,Алматы,113234,113234,0
110057315,70mai зарядное устройство для видеорегистратора Midrive UP03 USB Type-C черный,70mai,Аксессуары для автоэлектроники,750000000,Алматы,8058,11046,27
